#pi_inter=pi pi_intra=pa nb_ra=nb_intra nb_er=nb_inter
#ID   	#subsets 	#subsets w/rec	dist     	Pi_i/Pi_a	Pi_inter	Pi_intra	#inter	#intra	pval
0    	326  	326  	0.000000	0.000351	0.000000	0.000000	0	320	1.000000e+00
1    	202  	202  	0.000878	2.849569	0.001000	0.000351	320	57	1.077844e-01
2    	195  	195  	0.000878	3.001152	0.001348	0.000449	377	10	7.265469e-01
3    	194  	194  	0.000882	5.601875	0.002646	0.000472	387	11	3.812375e-01
4    	192  	192  	0.000890	2.602554	0.001386	0.000533	398	112	6.886228e-01
5    	188  	188  	0.000894	2.525156	0.001818	0.000720	510	55	8.702595e-01
6    	182  	182  	0.000900	1.088162	0.000900	0.000827	565	1	1.000000e+00
7    	181  	181  	0.000915	1.106931	0.000915	0.000827	566	1	1.000000e+00
8    	180  	180  	0.000926	1.120062	0.000926	0.000827	567	2	1.000000e+00
9    	178  	178  	0.000931	1.124804	0.000931	0.000827	569	1	1.000000e+00
10   	177  	177  	0.000977	1.180645	0.000977	0.000828	570	1	1.000000e+00
11   	176  	176  	0.000986	4.351357	0.003602	0.000828	571	7	2.614770e-01
12   	174  	174  	0.001035	2.585476	0.002227	0.000861	578	4	6.846307e-01
13   	173  	173  	0.001109	1.273769	0.001109	0.000871	582	1	1.000000e+00
14   	172  	172  	0.001113	1.277426	0.001113	0.000871	583	1	1.000000e+00
15   	171  	171  	0.001180	3.244100	0.002828	0.000872	584	11	9.421158e-01
16   	170  	170  	0.001327	3.915898	0.003555	0.000908	595	8	5.688623e-01
17   	168  	168  	0.001344	1.425744	0.001344	0.000943	603	1	1.000000e+00
18   	167  	167  	0.001445	1.532544	0.001446	0.000944	604	3	8.542914e-01
19   	166  	166  	0.001472	1.555571	0.001472	0.000946	607	1	1.000000e+00
20   	165  	165  	0.001476	3.851005	0.003647	0.000947	608	20	5.229541e-01
21   	164  	164  	0.001544	1.495205	0.001544	0.001033	628	1	1.000000e+00
22   	163  	163  	0.001553	1.828837	0.001891	0.001034	629	2	6.387226e-01
23   	162  	162  	0.001671	2.775766	0.002877	0.001036	631	87	8.223553e-01
24   	160  	160  	0.001677	2.177154	0.002742	0.001260	718	8	9.560878e-01
25   	159  	159  	0.001685	2.962335	0.003780	0.001276	726	6	9.241517e-01
26   	158  	158  	0.001756	1.865203	0.002418	0.001296	732	60	8.363273e-01
27   	154  	154  	0.001765	3.300723	0.004559	0.001381	792	35	9.141717e-01
28   	153  	153  	0.001789	1.851989	0.002807	0.001516	827	28	8.522954e-01
29   	148  	148  	0.001790	2.691529	0.004194	0.001558	855	12	8.542914e-01
30   	147  	147  	0.001794	2.434618	0.003882	0.001595	867	10	6.846307e-01
31   	146  	146  	0.001818	1.711190	0.002773	0.001621	877	4	8.203593e-01
32   	145  	145  	0.001825	2.334306	0.003795	0.001626	881	7	9.441118e-01
33   	144  	144  	0.001828	1.453035	0.002387	0.001643	888	3	8.962076e-01
34   	143  	143  	0.001843	5.077482	0.008355	0.001646	891	807	4.770459e-01
35   	136  	136  	0.001846	1.634417	0.007901	0.004834	1698	46	9.980040e-01
36   	135  	135  	0.001847	1.755064	0.008627	0.004915	1744	1175	9.960080e-01
37   	134  	134  	0.001862	0.680747	0.004363	0.006409	2919	10	9.540918e-01
38   	133  	133  	0.001910	1.326283	0.008491	0.006402	2929	72	1.000000e+00
39   	132  	132  	0.001940	1.387808	0.008955	0.006452	3001	146	9.960080e-01
40   	131  	131  	0.001958	1.233791	0.008104	0.006569	3147	150	9.980040e-01
41   	130  	130  	0.001959	0.368994	0.002450	0.006638	3297	4	6.606786e-01
42   	129  	129  	0.002060	0.310547	0.002060	0.006633	3301	1	1.000000e+00
43   	128  	128  	0.002067	1.367068	0.009066	0.006632	3302	77	9.960080e-01
44   	127  	127  	0.002099	0.313850	0.002099	0.006687	3379	1	1.000000e+00
45   	126  	126  	0.002117	1.471682	0.009840	0.006686	3380	78	9.900200e-01
46   	125  	125  	0.002196	0.324929	0.002196	0.006757	3458	2	6.027944e-01
47   	124  	124  	0.002225	1.618248	0.010931	0.006755	3460	316	9.880240e-01
48   	123  	123  	0.002230	1.874199	0.013314	0.007104	3776	249	9.660679e-01
49   	122  	122  	0.002270	0.524237	0.003926	0.007488	4025	12	5.389222e-01
50   	121  	121  	0.002291	1.372689	0.010264	0.007478	4037	86	9.960080e-01
51   	120  	120  	0.002307	1.200788	0.009049	0.007536	4123	703	1.000000e+00
52   	118  	118  	0.002558	1.769912	0.013728	0.007756	4826	95	9.800399e-01
53   	117  	117  	0.002638	1.287737	0.010136	0.007871	4921	96	1.000000e+00
54   	116  	116  	0.002639	2.005713	0.015875	0.007915	5017	97	9.540918e-01
55   	115  	115  	0.002673	1.219398	0.009835	0.008066	5114	597	9.960080e-01
56   	112  	112  	0.002685	0.418756	0.003455	0.008251	5711	20	9.960080e-01
57   	108  	108  	0.002686	0.526018	0.004331	0.008234	5731	7	9.580838e-01
58   	107  	107  	0.002736	1.194427	0.009829	0.008229	5738	208	1.000000e+00
59   	106  	106  	0.003263	0.393844	0.003263	0.008285	5946	1	1.000000e+00
60   	105  	105  	0.003345	0.868530	0.007195	0.008284	5947	106	1.000000e+00
61   	104  	104  	0.003408	0.412287	0.003408	0.008265	6053	1	1.000000e+00
62   	103  	103  	0.003497	0.616362	0.005094	0.008265	6054	2	4.031936e-01
63   	102  	102  	0.003517	1.062444	0.008779	0.008263	6056	333	1.000000e+00
64   	100  	100  	0.003569	1.431865	0.011871	0.008290	6389	330	9.900200e-01
65   	99   	99   	0.003581	1.726252	0.014615	0.008466	6719	113	9.900200e-01
66   	98   	98   	0.003582	0.590835	0.005062	0.008568	6832	19	9.361277e-01
67   	96   	96   	0.003584	0.471198	0.004033	0.008558	6851	4	5.089820e-01
68   	95   	95   	0.003728	1.268854	0.010856	0.008556	6855	114	9.980040e-01
69   	94   	94   	0.003839	0.446794	0.003839	0.008593	6969	1	1.000000e+00
70   	93   	93   	0.003862	0.869817	0.007474	0.008592	6970	8	7.844311e-01
71   	92   	92   	0.003884	0.686226	0.005896	0.008591	6978	3	5.928144e-01
72   	91   	91   	0.004229	1.413085	0.012138	0.008590	6981	115	9.960080e-01
73   	90   	90   	0.004247	0.715174	0.006184	0.008648	7096	5	1.000000e+00
74   	88   	88   	0.004374	0.787777	0.006811	0.008646	7101	4	9.061876e-01
75   	87   	87   	0.004396	1.244590	0.010759	0.008645	7105	239	9.980040e-01
76   	84   	84   	0.004455	1.414546	0.012326	0.008714	7344	1180	9.960080e-01
