sciName,family,subfamily,genus,specificEpithet,authoritySpeciesAuthor,authoritySpeciesYear,authorityParentheses,originalNameCombination,authoritySpeciesCitation,authoritySpeciesLink,typeVoucher,typeKind,typeVoucherURIs,typeLocality,typeLocalityLatitude,typeLocalityLongitude,nominalNames,taxonomyNotes,taxonomyNotesCitation,countryDistribution,continentDistribution,biogeographicRealm,iucnStatus
Glirulus_japonicus,Gliridae,Glirinae,Glirulus,japonicus,H. R. Schinz,1845,1,Myoxus javanicus,"Schinz, H.R. 1845. Systematisches Verzeichniss aller bis jetzt bekannten Säugethiere oder Synopsis Mammalium nach dem Cuvier'schen System. Zweiter Band. Jent und Gassmann, Solothurn, 574 pp.",https://books.google.com/books?id=yNwTAAAAQAAJ,"RMNH.MAM.39367, RMNH.MAM.39368, RMNH.MAM.39369",syntypes,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.MAM.39367.a | https://data.biodiversitydata.nl/naturalis/specimen/RMNH.MAM.39367.b | https://data.biodiversitydata.nl/naturalis/specimen/RMNH.MAM.39368.a | https://data.biodiversitydata.nl/naturalis/specimen/RMNH.MAM.39368.b | https://data.biodiversitydata.nl/naturalis/specimen/RMNH.MAM.39369,Japan.,,,"elegans (Temminck, 1844) [preoccupied]|japonicus (H. R. Schinz, 1845) [nomen novum | as emended]|japonicus (A. R. Wallace, 1880) [justified emendation]|lasiotis (O. Thomas, 1880) [nomen novum]",NA,NA,Japan,Asia,Palearctic,LC
Glis_glis,Gliridae,Glirinae,Glis,glis,Linnaeus,1766,1,Sciurus Glis,"Linnaeus, C. 1766. Systema Naturæ per Regna Tria Naturæ, Secundum Classes, Ordines, Genera, Species, cum Characteribus, Differentiis, Synonymis, Locis. Tomus I. Editio Duodecima, Reformata. Laurentii Salvii, Stockholm, 532 pp.",https://www.biodiversitylibrary.org/page/42946283,PMS 27369,neotype,,"""Habitat in Europa australi."" Restricted by C. Violani and B. Zava in 1994 to Southern Carniola, Slovenia.",45.92462,14.439479,"glis (Linnaeus, 1766)|somnolentus (E. A. W. von Zimmermann, 1777) [placed on index]|esculentus Blumenbach, 1779 [nomen novum]|vulgaris Oken, 1816 [placed on index | nomen novum]|giglis (F. Cuvier, 1832) [incorrect subsequent spelling]|diluvianus (zu Münster, 1833) [nomen nudum]|avellanus (R. Owen, 1840) [nomen nudum]|vulgaris Giebel, 1855 [nomen novum]|italicus Barrett-Hamilton, 1898|insularis Barrett-Hamilton, 1899|orientalis (Nehring, 1903)|spoliatus O. Thomas, 1906|melonii O. Thomas, 1907|pyrenaicus Cabrera, 1908|intermedius Altobello, 1920|subalpinus von Burg, 1920|tschetschenicus Satunin, 1920|postus I. G. S. Montagu, 1923|abrutti Altobello, 1924|minutus V. E. Martino, 1930|intermedius V. E. Martino & E. V. Martino, 1941 [preoccupied]|vagneri V. E. Martino & E. V. Martino, 1941|argenteus K. Zimmermann, 1953|abruttii Vietinghhoff-Riesch, 1960 [incorrect subsequent spelling]|esculantus Vietinghhoff-Riesch, 1960 [incorrect subsequent spelling]|martinoi Mirić, 1960 [nomen novum]|wagneri Đulić & Tortić, 1960 [incorrect subsequent spelling]|pindicus Ondrias, 1966|martinoi Grekova, 1969 [preoccupied]|germanicus (Violani & Zava, 1995)|grekovae (G. I. Baranova in G. I. Baranova & Gromov, 2003) [nomen novum]|tschetshenicus Holden, 2005 [incorrect subsequent spelling | not used as valid]",previously included G. persicus,"Kryštufek, B., Naderi, M., Janžekovič, F., Hutterer, R., Bombek, D., & Mahmoudi, A. (2021). A taxonomic revision of fat dormice, genus Glis (Rodentia). Mammalia, 85(4), 362-378.|Gharkhloo, M. M., Karataş, A., & Kassari, R. G. (2021). On the karyology, morphology and biology of Glis glis (Linnaeus, 1766)(Rodentia: Gliridae) in Iran. Biharean Biologist, 15(1), 53-58.",Spain|France|Belgium|Switzerland|Luxembourg|Liechtenstein|Italy|Germany|Austria|Czech Republic|Poland|Slovenia|Slovakia|Hungary|Croatia|Bosnia and Herzegovina|Serbia|Kosovo|Albania|Montenegro|North Macedonia|Greece|Bulgaria|Romania|Moldova|Ukraine|Belarus|Lithuania|Latvia|Russia|Georgia|Azerbaijan|Armenia|Turkey,Asia|Europe,Palearctic,LC
Glis_persicus,Gliridae,Glirinae,Glis,persicus,Erxleben,1777,1,Sciurus persicus,"Erxleben, J.C.P. 1777. Systema regni animalis per classes, ordines, genera, species, varietates cum synonymia et historia animalium. Classis I. Mammalia. Impensis Weygandianis, Leipzig, 636 pp.",https://www.biodiversitylibrary.org/page/15873214,,,,"""in Persiae provincia Gilan [in the Iranian Province of Gilan]."" Restricted by D. M. Lay in 1967 to “Rasht” “Iran: Ghilan [Gilan] Province.",,,"persicus (Erxleben, 1777)|caspicus (Satunin, 1905) [unjustified emendation]|caspius (Satunin, 1905)|petruccii G. G. Goodwin, 1939",split from G. glis,"Kryštufek, B., Naderi, M., Janžekovič, F., Hutterer, R., Bombek, D., & Mahmoudi, A. (2021). A taxonomic revision of fat dormice, genus Glis (Rodentia). Mammalia, 85(4), 362-378.|Gharkhloo, M. M., Karataş, A., & Kassari, R. G. (2021). On the karyology, morphology and biology of Glis glis (Linnaeus, 1766)(Rodentia: Gliridae) in Iran. Biharean Biologist, 15(1), 53-58.",Azerbaijan|Iran|Turkmenistan,Asia,Palearctic,NE
Graphiurus_angolensis,Gliridae,Graphiurinae,Graphiurus,angolensis,de Winton,1897,0,Graphiurus angolensis,"de Winton, W.E. 1897-08-31. On a collection of rodents from Angola. Annals and Magazine of Natural History (6)20(117):320-324.",https://www.biodiversitylibrary.org/page/27415300,BMNH:Mamm:1892.1.9.9,holotype,https://data.nhm.ac.uk/object/78259a43-f789-411b-a6e5-b79345007241,"Caconda, Huila Plateau, south-western Angola.",,,"angolensis de Winton, 1897|parvulus Monard, 1933|dasilvai (A. Roberts, 1938)",NA,NA,Angola|Zambia,Africa,Afrotropic,DD
Graphiurus_christyi,Gliridae,Graphiurinae,Graphiurus,christyi,Dollman,1914,0,Graphiurus christyi,"Dollman, G. 1914. Notes on mammals collected by Dr. Christy in the Congo and by Dr. Bayer in Uganda and British East Africa. Revue zoologique africaine 4:75-90.",https://www.biodiversitylibrary.org/page/11472360,BMNH:Mamm:1914.2.11.8,holotype,https://data.nhm.ac.uk/object/27f52f6a-5748-48f5-a45f-1916efb64879,"Mambaka, DR Congo.",,,"christyi Dollman, 1914",NA,NA,Democratic Republic of the Congo|Cameroon,Africa,Afrotropic,LC
Graphiurus_crassicaudatus,Gliridae,Graphiurinae,Graphiurus,crassicaudatus,Jentink,1888,1,Claviglis crassicaudatus,"Jentink, F.A. 1888. Zoological researches in Liberia. A list of mammals, collected by J. Büttikofer, C. F. Sala and F. X. Stampfli, with biological observations. Notes from the Leyden Museum 10:1-58.",https://www.biodiversitylibrary.org/page/9622329,RMNH.MAM.26639,holotype,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.MAM.26639.a | https://data.biodiversitydata.nl/naturalis/specimen/RMNH.MAM.26639.b,"Hill Town, Du Queah River, Liberia.",,,"crassicaudatus (Jentink, 1888)|dorotheae Dollman, 1912",NA,NA,Guinea|Liberia|Cote d'Ivoire|Ghana|Togo|Nigeria|Cameroon|Equatorial Guinea,Africa,Afrotropic,DD
Graphiurus_johnstoni,Gliridae,Graphiurinae,Graphiurus,johnstoni,O. Thomas,1898,0,Graphiurus johnstoni,"Thomas, O. 1898-04. On the mammals obtained by Mr. A. Whyte in Nyasaland, and presented to the British Museum by Sir H. H. Johnston, K.C.B.; being a fifth contribution to the mammal-fauna of Nyasaland. Proceedings of the Zoological Society of London 1897(4):925-939.",https://www.biodiversitylibrary.org/page/30988175,BMNH:Mamm:1897.10.1.86,holotype,https://data.nhm.ac.uk/object/ec594127-a941-4d5c-a4e9-d0977922dda5,"Zomba, southern Malawi.",,,"johnstoni O. Thomas, 1898",NA,NA,Malawi,Africa,Afrotropic,DD
Graphiurus_kelleni,Gliridae,Graphiurinae,Graphiurus,kelleni,Reuvens,1890,1,Eliomys kelleni,"Reuvens, C.L. 1890. Die Myoxidae oder Schlaefer. Ein Beitrag zur Osteologie und Systematik der Nagethiere. P.W.M. Trap, Leiden, 80 pp.",https://www.biodiversitylibrary.org/page/14819041,RMNH.MAM.26638,holotype,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.MAM.26638.a | https://data.biodiversitydata.nl/naturalis/specimen/RMNH.MAM.26638.b,"""Damara-land,"" Mossamedes District, south-western Angola. Modified by C. L. Reuvens to ""Damara-land"" in ""Süd West Afrika"" (= Namibia). Corrected by J. E. Hill and T. D. Carter in 1941 to ""Damara-land"" in south-western Angola.",,,"kelleni (Reuvens, 1890)|parvus (F. W. True, 1893)|nanus (de Winton, 1897)|brockmani Dollman, 1910|dollmani Osgood, 1910|personatus E. Heller, 1911|ansorgei Dollman, 1912|internus Dollman, 1912|foxi Dollman, 1914|olga (O. Thomas, 1925)|tasmani (A. Roberts, 1929)|cuanzensis (J. Eric Hill & T. D. Carter, 1937)",NA,NA,Senegal|Gambia|Guinea-Bissau|Mali|Burkina Faso|Cote d'Ivoire|Ghana|Togo|Benin|Niger|Nigeria|Cameroon|Sudan|Ethiopia|South Sudan|Somalia|Kenya|Uganda|Democratic Republic of the Congo|Tanzania|Angola|Zambia|Malawi|Mozambique|Zimbabwe,Africa,Afrotropic,LC
Graphiurus_lorraineus,Gliridae,Graphiurinae,Graphiurus,lorraineus,Dollman,1910,0,Graphiurus lorraineus,"Dollman, G. 1910-03-01. Two new species of African dormice belonging to the genus _Graphiurus_. Annals and Magazine of Natural History (8)5(27):285-288.",https://www.biodiversitylibrary.org/page/16094710,BMNH:Mamm:1907.7.8.115,holotype,https://data.nhm.ac.uk/object/660cfa97-aef8-4c59-a2df-63524c52249b,"Molegbwe, south of Setema Rapids, Welle (Uele) River, Democratic Republic of the Congo.",,,"lorraineus Dollman, 1910|haedulus Dollman, 1912|spurrelli Dollman, 1912",NA,NA,Sierra Leone|Liberia|Guinea|Cote d'Ivoire|Ghana|Nigeria|Cameroon|Equatorial Guinea|Gabon|Central African Republic|Republic of the Congo|Democratic Republic of the Congo|Angola|Zambia|Uganda?,Africa,Afrotropic,LC
Graphiurus_microtis,Gliridae,Graphiurinae,Graphiurus,microtis,Noack,1887,1,Eliomys microtis,"Noack, T. 1887-05-07. Beiträge zur Kenntniss der Säugethier-Fauna von Ost- und Central-Afrika. Nach Sammlungen und Aufzeichnungen des verstorbenen Dr. Richard Böhm. Zoologische Jahrbücher 2(2):193-302.",https://www.biodiversitylibrary.org/page/10356288,,holotype,,"Qua Mpala, Marungu, Democratic Republic of the Congo.",,,"orobinus (J. A. Wagner, 1845)|microtis (Noack, 1887)|smithii (O. Thomas, 1893)|griselda Schwann, 1906|woosnami Dollman, 1910|butleri Dollman, 1912|pretoriae A. Roberts, 1913|streeteri A. Roberts, 1913|tzaneenensis A. Roberts, 1913|littoralis (A. Roberts, 1929)|vandami (A. Roberts, 1929)|etoschae (A. Roberts, 1938)|schneideri (A. Roberts, 1938)|albolineatus (Frechkop, 1947)|sudanensis Setzer, 1953|marrensis Setzer, 1956","the name orobinus may apply to this species or M. parvus and if it applies to this species, it would have priority over microtis; we hesitate from making this change put list the name under this species until further comparison confirms the names relationship",NA,Cameroon|Chad|Sudan|South Sudan|Ethiopia|Democratic Republic of the Congo|Uganda|Kenya|Tanzania|Rwanda|Burundi|Zambia|Angola|Malawi|Mozambique|Zimbabwe|Namibia|Botswana|South Africa|Eswatini,Africa,Afrotropic,LC
