ID,field number,collection number,basis of record,family,genus,species,sex,head-body,tail,hind-foot,ear,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,url
S0001,,RMCA 7144-M-,preserved,Gliridae,Graphiurus,lorraineus,f,149,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://projects.biodiversity.be/africanmammalia/specimen/show/26183
S0002,446,RMCA 1665-M- b,preserved,Gliridae,Graphiurus,christyi,f,90,65,16,12,,,,,,,,,,,,,,,,,,,,,,,,,,http://projects.biodiversity.be/africanmammalia/specimen/show/24789
S0003,2204,RMCA 96.038-M-3483,preserved,Gliridae,Graphiurus,murinus,m,98,,19,14,,,,,,,,,,,,,,,,,,,,,,,,,,http://projects.biodiversity.be/africanmammalia/specimen/show/47359
S0004,a 611,,observation,Gliridae,Graphiurus,lorraineus,f,94,80,17,12,24.75,22.15,18.05,7.1,2.65,5.5,6.45,4.2,12.7,2.95,2.85,4.85,0.8,7.65,2.8,8.9,2.95,1.25,6.8,11.4,1.15,,5.55,5.45,6.45,http://projects.biodiversity.be/africanmammalia/specimen/show/86335
S0005,715,RMCA 5256-M-,preserved,Gliridae,Graphiurus,kelleni,m,82,84,14.5,13,,,,,,,,,,,,,,,,,,,,,,,,,,http://projects.biodiversity.be/africanmammalia/specimen/show/59136
S0006,9095,RMCA 29289-M-,preserved,Gliridae,Graphiurus,platyops,m,100,87,,18,,,,,,,,,,,,,,,,,,,,,,,,,,http://projects.biodiversity.be/africanmammalia/specimen/show/59354
S0007,3,RMCA 91.090-M-0046,preserved,Gliridae,Eliomys,quercinus,m,124,115,20,16,,,,,,,,,,,,,,,,,,,,,,,,,,http://projects.biodiversity.be/africanmammalia/specimen/show/63515
S0008,a 8341,,observation,Gliridae,Graphiurus,nagtglasii,f,122,110,28,18,35.1,31.25,26.25,12.35,2.65,7.6,9.15,5.45,18.45,4.45,5.2,7.4,1.3,10.3,3.2,12.2,4.75,3.05,7.6,15.7,1.5,,6.95,6.5,8.9,http://projects.biodiversity.be/africanmammalia/specimen/show/86320
S0009,a 296,,observation,Gliridae,Graphiurus,nagtglasii,f,146,106,29,21,,,,11.5,3.45,8.05,9.65,,,5.05,4.9,7.65,1.2,11.3,2.55,,4.7,,,,1.75,,6.75,6.9,9.9,http://projects.biodiversity.be/africanmammalia/specimen/show/86306
S0010,3704,RMCA 96.038-M-3489,preserved,Gliridae,Graphiurus,murinus,f,93,58,19,16,,,,,,,,,,,,,,,,,,,,,,,,,,http://projects.biodiversity.be/africanmammalia/specimen/show/47365
S0011,1560,,observation,Gliridae,Graphiurus,nagtglasii,f,141,118,30,18,35.7,32.35,27.25,12,3.25,8.1,10,5.85,19.85,4.35,5,7.45,1.4,10.75,2.8,13.7,5.1,2.65,7.75,15.55,1.6,,7.1,7.15,10.5,http://projects.biodiversity.be/africanmammalia/specimen/show/86292
S0012,a 6104,,observation,Gliridae,Graphiurus,nagtglasii,m,136,101,27,18,,31.8,26.65,12.25,3.2,8.35,10.15,5.75,19.2,4.95,4.6,7.55,1.25,11.5,3,,4.9,2.9,7.4,16,1.6,,7.4,7.65,9.55,http://projects.biodiversity.be/africanmammalia/specimen/show/86318
S0013,1517,RMCA 95.051-M-3099,preserved,Gliridae,Graphiurus,christyi,m,97,64,16,12,26.25,22.55,18.6,7.9,2.45,5.55,6.8,4.6,14.2,3.7,3.05,5.6,0.8,8,3.2,9.3,2.9,1.9,6.55,12.3,1.15,,5.7,5.5,5.9,http://projects.biodiversity.be/africanmammalia/specimen/show/7114
S0014,1938,,observation,Gliridae,Graphiurus,lorraineus,m,92,49,17,12,25.95,23.3,19.25,7.85,2.7,5.65,6.85,4.05,14.5,3.35,3.15,5.25,0.8,7.65,2.9,10.05,3.1,1.7,7.55,11.15,1.3,,5.95,5.7,6.95,http://projects.biodiversity.be/africanmammalia/specimen/show/86348
S0015,,RMCA 7124-M-,preserved,Gliridae,Graphiurus,christyi,f,133,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://projects.biodiversity.be/africanmammalia/specimen/show/26171
S0016,a 8793,RMCA 93.012-M-0479,preserved,Gliridae,Graphiurus,murinus,f,72,60,18,11,,,,,,,,,,,,,,,,,,,,,,,,,,http://projects.biodiversity.be/africanmammalia/specimen/show/38108
S0017,1756,,observation,Gliridae,Graphiurus,nagtglasii,f,140,69,28,19,35.8,32.05,26.9,11.8,3.2,8,9.55,5.5,19.7,4.55,4.9,7.3,1.25,10.45,2.8,12.7,4.55,2.7,7.5,15.45,1.6,,6.95,6.55,9.6,http://projects.biodiversity.be/africanmammalia/specimen/show/86294
S0018,84,RMCA 12629-M-,preserved,Gliridae,Graphiurus,ocularis,f,165,115,25,12,,,,,,,,,,,,,,,,,,,,,,,,,,http://projects.biodiversity.be/africanmammalia/specimen/show/27561
S0019,3973,RMCA 96.038-M-3493,preserved,Gliridae,Graphiurus,microtis,m,55,54,17,8,,,,,,,,,,,,,,,,,,,,,,,,,,http://projects.biodiversity.be/africanmammalia/specimen/show/47369
S0020,1947,RMCA 96.038-M-3479,preserved,Gliridae,Graphiurus,microtis,,64,54,17,10,,,,,,,,,,,,,,,,,,,,,,,,,,http://projects.biodiversity.be/africanmammalia/specimen/show/47355
S0021,6184,,observation,Gliridae,Graphiurus,lorraineus,f,83,62,17,11,23.7,20.7,16.9,6.7,2.3,5,5.85,3.95,13.25,3.3,3.1,,0.8,7.2,2.55,9.1,2.7,1.6,6.3,10.75,1.15,,4.9,5.05,5.95,http://projects.biodiversity.be/africanmammalia/specimen/show/86328
S0022,233,RMCA 13544-M-,preserved,Gliridae,Graphiurus,christyi,f,110,70,18,15,,,,,,,,,,,,,,,,,,,,,,,,,,http://projects.biodiversity.be/africanmammalia/specimen/show/28024
