ID,Family,SubFamily,Genus,Species_Prep,Sex,Age,bodymass(g),head-body(mm),tail (mm),ear (mm),hindfoot (mm),GLS,CI,Zyg,Brain,Height,UTRL,m1-m3,m3-m3,Mand,LTR,Mm1-m3
ZWW132,Gliridae,Graphiurinae,Graphiurus,nagtglasii MOTU01,F,Adult,67,130,92,19,26,32.4,30.4,19.4,15.5,11.8,14.4,5,7.4,21.1,12.6,4.9
JCK11238,Gliridae,Graphiurinae,Graphiurus,MOTU02,,,,,,,,,,,,,,,,,,
R24007,Gliridae,Graphiurinae,Graphiurus,MOTU03,M,,,59,38,9.6,13,,,,,,,,,,,
R24027,Gliridae,Graphiurinae,Graphiurus,MOTU03,F,,,75,48,11.8,12.4,,,,,,,,,,,
RLMar151,Gliridae,Graphiurinae,Graphiurus,MOTU04,,,,,,,,,,,,,,,,,,
CAR116,Gliridae,Graphiurinae,Graphiurus,MOTU05,,,,,,,,,,,,,,,,,,
GA2949,Gliridae,Graphiurinae,Graphiurus,MOTU05,M,,,82,96,12.8,20.3,,,,,,,,,,,
FMNH151364,Gliridae,Graphiurinae,Graphiurus,MOTU06,,,,,,,,,,,,,,,,,,
FMNH154001,Gliridae,Graphiurinae,Graphiurus,MOTU06,,,,,,,,,,,,,,,,,,
FMNH196192,Gliridae,Graphiurinae,Graphiurus,MOTU06,,,,,,,,,,,,,,,,,,
FMNH196634,Gliridae,Graphiurinae,Graphiurus,MOTU06,,,,,,,,,,,,,,,,,,
ANG0007,Gliridae,Graphiurinae,Graphiurus,MOTU07,M,A+,35,106.3,93.8,19.7,23,,,,,,,,,,,
KE041,Gliridae,Graphiurinae,Graphiurus,MOTU08 A,,A- [m?la mlá?ata],19,84,70,14.1,12.8,,,,,,,,,,,
KE088,Gliridae,Graphiurinae,Graphiurus,MOTU08 A,,"sub T(3x1,2)",10,72,62,14.8,13.5,,,,,,,,,,,
TZ27632,Gliridae,Graphiurinae,Graphiurus,MOTU08 A,,A? (mc0),17,85,80,15.5,13.6,,,,,,,,,,,
TZ27633,Gliridae,Graphiurinae,Graphiurus,MOTU08 A,,A+ (mc0),16,81,66,15.1,13.3,,,,,,,,,,,
TZ27645,Gliridae,Graphiurinae,Graphiurus,MOTU08 A,,A-,14,69,74,,11.9,,,,,,,,,,,
LAV3436,Gliridae,Graphiurinae,Graphiurus,MOTU08 B,,,,,,,,,,,,,,,,,,
P0994,Gliridae,Graphiurinae,Graphiurus,MOTU09,M,,10,67,54,12,14,,,,,,,,,,,
TZ28200,Gliridae,Graphiurinae,Graphiurus,MOTU10,,,14,76.2,72.7,15.6,14.2,,,,,,,,,,,
FMNH163759,Gliridae,Graphiurinae,Graphiurus,MOTU10,,,,,,,,,,,,,,,,,,
FMNH205145,Gliridae,Graphiurinae,Graphiurus,MOTU10,,,,,,,,,,,,,,,,,,
TZUP004,Gliridae,Graphiurinae,Graphiurus,MOTU10,,,,,,,,,,,,,,,,,,
TZUP005,Gliridae,Graphiurinae,Graphiurus,MOTU10,,,,,,,,,,,,,,,,,,
TZUP026,Gliridae,Graphiurinae,Graphiurus,MOTU10,,,,,,,,,,,,,,,,,,
TZUP031,Gliridae,Graphiurinae,Graphiurus,MOTU10,,,,,,,,,,,,,,,,,,
TZUP045,Gliridae,Graphiurinae,Graphiurus,MOTU10,,,,,,,,,,,,,,,,,,
CIV0892,Gliridae,Graphiurinae,Graphiurus,cf. lorraineus MOTU11 C,F,,25,95,82,16,12,,,,,,,,,,,
CIV1213,Gliridae,Graphiurinae,Graphiurus,cf. lorraineus MOTU11 C,M,,28,105,85,16,13,,,,,,,,,,,
MK8,Gliridae,Graphiurinae,Graphiurus,cf. lorraineus MOTU11 C,F,,18,91,46,18,14,,,,,,,,,,,
SI21,Gliridae,Graphiurinae,Graphiurus,cf. lorraineus MOTU11 B,F,,14,85,83,16,14,,,,,,,,,,,
SI66,Gliridae,Graphiurinae,Graphiurus,cf. lorraineus MOTU11 B,F,,11,83,76,14,13,,,,,,,,,,,
BE0001,Gliridae,Graphiurinae,Graphiurus,cf. lorraineus MOTU11 A,,,,,,,,,,,,,,,,,,
BE0291,Gliridae,Graphiurinae,Graphiurus,cf. lorraineus MOTU11 A,M,,23,91,86,,15,,,,,,,,,,,
BE0347,Gliridae,Graphiurinae,Graphiurus,cf. lorraineus MOTU11 A,F,,12,70,88,,15,,,,,,,,,,,
BE0539,Gliridae,Graphiurinae,Graphiurus,cf. lorraineus MOTU11 A,M,,16.5,78,84,,13,,,,,,,,,,,
BE0589,Gliridae,Graphiurinae,Graphiurus,cf. lorraineus MOTU11 A,F,,13,76,77,,11,,,,,,,,,,,
BE0878,Gliridae,Graphiurinae,Graphiurus,cf. lorraineus MOTU11 A,F,,16,87,45,,14,,,,,,,,,,,
DFA555,Gliridae,Graphiurinae,Graphiurus,cf. lorraineus MOTU11 C,,,,,,,,,,,,,,,,,,
DFA556,Gliridae,Graphiurinae,Graphiurus,cf. lorraineus MOTU11 C,,,,,,,,,,,,,,,,,,
DFA590,Gliridae,Graphiurinae,Graphiurus,cf. lorraineus MOTU11 C,,,,,,,,,,,,,,,,,,
GDOB1859,Gliridae,Graphiurinae,Graphiurus,cf. lorraineus MOTU11 A,,,,,,,,,,,,,,,,,,
NIMII68,Gliridae,Graphiurinae,Graphiurus,cf. lorraineus MOTU11 C,,,,,,,,,,,,,,,,,,
P0585,Gliridae,Graphiurinae,Graphiurus,cf. lorraineus MOTU11 C,F,,28,99,46,12,18,,,,,,,,,,,
P2461,Gliridae,Graphiurinae,Graphiurus,cf. lorraineus MOTU11 C,F,,20,83,90,13,15,,,,,,,,,,,
VN1185,Gliridae,Graphiurinae,Graphiurus,cf. lorraineus MOTU11 D,F,,21,81,,13,13,,,,,,,,,,,
VN1630,Gliridae,Graphiurinae,Graphiurus,cf. lorraineus MOTU11 C,F,,10,67,59,8,17,,,,,,,,,,,
VN1643,Gliridae,Graphiurinae,Graphiurus,cf. lorraineus MOTU11 C,M,,10,61,62,12,17,,,,,,,,,,,
ZWW115,Gliridae,Graphiurinae,Graphiurus,cf. lorraineus MOTU11 C,F,Adult,14,75,77,7,17,22.7,21.9,13.4,12,7.9,10,3.3,4.9,14.5,8.8,3.5
ZWW144,Gliridae,Graphiurinae,Graphiurus,cf. lorraineus MOTU11 C,M,Adult,19,90,75,19,18,23.5,22.3,,12.3,8,9.7,3.5,5.1,14,8.2,3.3
ETH0400,Gliridae,Graphiurinae,Graphiurus,MOTU12 B,,sub [MC+],16,82,67,15.7,14.4,,,,,,,,,,,
ETH0501,Gliridae,Graphiurinae,Graphiurus,MOTU12 B,,,13.2,72.1,58,14.8,14.1,,,,,,,,,,,
ETH0600,Gliridae,Graphiurinae,Graphiurus,MOTU12 C,F,sub,11.3,76,63,14.6,13.4,,,,,,,,,,,
ETH1314,Gliridae,Graphiurinae,Graphiurus,MOTU12 B,,A-,19.5,88,86,20.4,17.4,,,,,,,,,,,
ETH1315,Gliridae,Graphiurinae,Graphiurus,MOTU12 B,,A/sub,17,82,60,17,13.2,,,,,,,,,,,
ETH1341,Gliridae,Graphiurinae,Graphiurus,MOTU12 B,,A+,20,84,65,16.4,14.1,,,,,,,,,,,
CMR01,Gliridae,Graphiurinae,Graphiurus,MOTU12 D,,,,,,,,,,,,,,,,,,
CMR06,Gliridae,Graphiurinae,Graphiurus,MOTU12 D,,,,,,,,,,,,,,,,,,
CMR17,Gliridae,Graphiurinae,Graphiurus,MOTU12 D,,,,,,,,,,,,,,,,,,
CMR19,Gliridae,Graphiurinae,Graphiurus,MOTU12 D,,,,,,,,,,,,,,,,,,
CMR21,Gliridae,Graphiurinae,Graphiurus,MOTU12 D,,,,,,,,,,,,,,,,,,
CMR5,Gliridae,Graphiurinae,Graphiurus,MOTU12 D,,,,,,,,,,,,,,,,,,
CRT682,Gliridae,Graphiurinae,Graphiurus,MOTU12 A,,,,,,,,,,,,,,,,,,
Denys21,Gliridae,Graphiurinae,Graphiurus,MOTU12 B,,,,,,,,,,,,,,,,,,
ETH1594,Gliridae,Graphiurinae,Graphiurus,MOTU12 B,,,,,,,,,,,,,,,,,,
FMNH202879,Gliridae,Graphiurinae,Graphiurus,MOTU12 A,,,,,,,,,,,,,,,,,,
LAV2521,Gliridae,Graphiurinae,Graphiurus,MOTU12 C,,,,,,,,,,,,,,,,,,
LAV2597,Gliridae,Graphiurinae,Graphiurus,MOTU12 C,,,,,,,,,,,,,,,,,,
MET2586,Gliridae,Graphiurinae,Graphiurus,MOTU12 B,,,,,,,,,,,,,,,,,,
N4236,Gliridae,Graphiurinae,Graphiurus,MOTU12 E,,,,,,,,,,,,,,,,,,
RTE127,Gliridae,Graphiurinae,Graphiurus,MOTU12 B,,,,,,,,,,,,,,,,,,
MOZ210,Gliridae,Graphiurinae,Graphiurus,MOTU13,,,21.5,90,60,15,17.1,,,,,,,,,,,
FMNH183735,Gliridae,Graphiurinae,Graphiurus,MOTU13,,,,,,,,,,,,,,,,,,
AMNH55739,Gliridae,Graphiurinae,Graphiurus,MOTU14,,,,,,,,,,,,,,,,,,
PT2016x29,Gliridae,Graphiurinae,Graphiurus,MOTU14,,,,,,,,,,,,,,,,,,
DQ652185,Gliridae,Graphiurinae,Graphiurus,MOTU15,,,,,,,,,,,,,,,,,,
FMNH190300,Gliridae,Graphiurinae,Graphiurus,MOTU16,,,,,,,,,,,,,,,,,,
FMNH190301,Gliridae,Graphiurinae,Graphiurus,MOTU16,,,,,,,,,,,,,,,,,,
FMNH190302,Gliridae,Graphiurinae,Graphiurus,MOTU16,,,,,,,,,,,,,,,,,,
FMNH190303,Gliridae,Graphiurinae,Graphiurus,MOTU16,,,,,,,,,,,,,,,,,,
FMNH190304,Gliridae,Graphiurinae,Graphiurus,MOTU16,,,,,,,,,,,,,,,,,,
FMNH190305,Gliridae,Graphiurinae,Graphiurus,MOTU16,,,,,,,,,,,,,,,,,,
FMNH190306,Gliridae,Graphiurinae,Graphiurus,MOTU16,,,,,,,,,,,,,,,,,,
FMNH190307,Gliridae,Graphiurinae,Graphiurus,MOTU16,,,,,,,,,,,,,,,,,,
FMNH190308,Gliridae,Graphiurinae,Graphiurus,MOTU16,,,,,,,,,,,,,,,,,,
FMNH190632,Gliridae,Graphiurinae,Graphiurus,MOTU16,,,,,,,,,,,,,,,,,,
FMNH190633,Gliridae,Graphiurinae,Graphiurus,MOTU16,,,,,,,,,,,,,,,,,,
FMNH216964,Gliridae,Graphiurinae,Graphiurus,MOTU16,,,,,,,,,,,,,,,,,,
KEN20150165,Gliridae,Graphiurinae,Graphiurus,MOTU16,Female,,39.9,110,137,17,23,,,,,,,,,,,
KEN20150306,Gliridae,Graphiurinae,Graphiurus,MOTU16,Male,,26.7,101,93,17,20,,,,,,,,,,,
KEN20150349,Gliridae,Graphiurinae,Graphiurus,MOTU16,Female,,16.1,85,80,13,17.5,,,,,,,,,,,
KEN20150390,Gliridae,Graphiurinae,Graphiurus,MOTU16,Female,,16.8,89,76,,17,,,,,,,,,,,
KEN20150749,Gliridae,Graphiurinae,Graphiurus,MOTU16,Female,,19.5,87,84,16,18,,,,,,,,,,,
