	agbassaBEN	blodiduekoueCIV	boweGIN	fressoudouGIN	gbagroubedivoCIV	goukaBEN	kazaoumaGIN	kedianaGIN	maikouGIN	nimbaGIN	tanguietaBEN	terouBEN	wannouBEN	WologiziWonegiziZiama
BE0001_agbassaBEN	1	0	0	0	0	0	0	0	0	0	0	0	0	0
BE0291_wannouBEN	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BE0347_wannouBEN	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BE0539_terouBEN	0	0	0	0	0	0	0	0	0	0	0	1	0	0
BE0589_terouBEN	0	0	0	0	0	0	0	0	0	0	0	1	0	0
BE0878_goukaBEN	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CIV0892_gbagroubedivoCIV	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CIV1213_blodiduekoueCIV	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DFA555_nimbaGIN	0	0	0	0	0	0	0	0	0	1	0	0	0	0
DFA556_nimbaGIN	0	0	0	0	0	0	0	0	0	1	0	0	0	0
DFA590_nimbaGIN	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GDOB1859_tanguietaBEN	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MK8_maikouGIN	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NIMII68_nimbaGIN	0	0	0	0	0	0	0	0	0	1	0	0	0	0
P0585_kazaoumaGIN	0	0	0	0	0	0	1	0	0	0	0	0	0	0
P2461_kazaoumaGIN	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SI21_kedianaGIN	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SI66_kedianaGIN	0	0	0	0	0	0	0	1	0	0	0	0	0	0
VN1185_fressoudouGIN	0	0	0	1	0	0	0	0	0	0	0	0	0	0
VN1630_boweGIN	0	0	1	0	0	0	0	0	0	0	0	0	0	0
VN1643_boweGIN	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ZWW115_WologiziWonegiziZiama	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ZWW144_WologiziWonegiziZiama	0	0	0	0	0	0	0	0	0	0	0	0	0	1
