alamataETH,alatishETH,bamendaCMR,borenasayntETH,boumbaNER,bulchaETH,dhatiwelelETH,godabutichaETH,hashengeETH,kunimuktariETH,liekiDRC,mahbereslassieETH,mokaGNQ
CMR01_bamendaCMR,0,0,1,0,0,0,0,0,0,0,0,0,0
CMR06_bamendaCMR,0,0,1,0,0,0,0,0,0,0,0,0,0
CMR17_bamendaCMR,0,0,1,0,0,0,0,0,0,0,0,0,0
CMR19_bamendaCMR,0,0,1,0,0,0,0,0,0,0,0,0,0
CMR21_bamendaCMR,0,0,1,0,0,0,0,0,0,0,0,0,0
CMR5_bamendaCMR,0,0,1,0,0,0,0,0,0,0,0,0,0
CRT682_liekiDRC,0,0,0,0,0,0,0,0,0,0,1,0,0
Denys21_godabutichaETH,0,0,0,0,0,0,0,1,0,0,0,0,0
ETH0400_bulchaETH,0,0,0,0,0,1,0,0,0,0,0,0,0
ETH0501_hashengeETH,0,0,0,0,0,0,0,0,1,0,0,0,0
ETH0600_alatishETH,0,1,0,0,0,0,0,0,0,0,0,0,0
ETH1314_borenasayntETH,0,0,0,1,0,0,0,0,0,0,0,0,0
ETH1315_borenasayntETH,0,0,0,1,0,0,0,0,0,0,0,0,0
ETH1341_borenasayntETH,0,0,0,1,0,0,0,0,0,0,0,0,0
ETH1594_kunimuktariETH,0,0,0,0,0,0,0,0,0,1,0,0,0
FMNH202879_mokaGNQ,0,0,0,0,0,0,0,0,0,0,0,0,1
LAV2521_dhatiwelelETH,0,0,0,0,0,0,1,0,0,0,0,0,0
LAV2597_dhatiwelelETH,0,0,0,0,0,0,1,0,0,0,0,0,0
MET2586_alamataETH,1,0,0,0,0,0,0,0,0,0,0,0,0
N4236_boumbaNER,0,0,0,0,1,0,0,0,0,0,0,0,0
RTE127_mahbereslassieETH,0,0,0,0,0,0,0,0,0,0,0,1,0
