	aberdareKEN	mtkenyaKEN
FMNH190300_aberdareKEN	1	0
FMNH190301_aberdareKEN	1	0
FMNH190302_aberdareKEN	1	0
FMNH190303_aberdareKEN	1	0
FMNH190304_aberdareKEN	1	0
FMNH190305_aberdareKEN	1	0
FMNH190306_aberdareKEN	1	0
FMNH190307_aberdareKEN	1	0
FMNH190308_aberdareKEN	1	0
FMNH190632_aberdareKEN	1	0
FMNH190633_aberdareKEN	1	0
FMNH216964_mtkenyaKEN	0	1
KEN20150165_mtkenyaKEN	0	1
KEN20150306_mtkenyaKEN	0	1
KEN20150349_mtkenyaKEN	0	1
KEN20150390_mtkenyaKEN	0	1
KEN20150749_mtkenyaKEN	0	1
KEN20150834_mtkenyaKEN	0	1
KEN20150937_mtkenyaKEN	0	1
KEN20150997_mtkenyaKEN	0	1
KEN20151040_mtkenyaKEN	0	1
KEN20151041_mtkenyaKEN	0	1
KEN20151042_mtkenyaKEN	0	1
KEN20151092_mtkenyaKEN	0	1
KEN20151101_mtkenyaKEN	0	1
KEN20151327_mtkenyaKEN	0	1
KEN20151471_mtkenyaKEN	0	1
KEN20151483_mtkenyaKEN	0	1
