,bwindiUGA,kahuzibiegaCOD,kahuzibiegaDRC,kibiraBDI,mgahingaUGA,nyungweRWA,rwenzoriUGA
AJ225115_kibiraBDI,0,0,0,1,0,0,0
AJ225115D_kibiraBDI,0,0,0,1,0,0,0
FMNH138128_kibiraBDI,0,0,0,1,0,0,0
FMNH138129_kibiraBDI,0,0,0,1,0,0,0
FMNH138133_kibiraBDI,0,0,0,1,0,0,0
FMNH145224_rwenzoriUGA,0,0,0,0,0,0,1
FMNH145225_rwenzoriUGA,0,0,0,0,0,0,1
FMNH149344_kibiraBDI,0,0,0,1,0,0,0
FMNH149346_kibiraBDI,0,0,0,1,0,0,0
FMNH149348_kibiraBDI,0,0,0,1,0,0,0
FMNH149349_kibiraBDI,0,0,0,1,0,0,0
FMNH157821_mgahingaUGA,0,0,0,0,1,0,0
FMNH160968_bwindiUGA,1,0,0,0,0,0,0
FMNH173463_kahuzibiegaDRC,0,0,1,0,0,0,0
FMNH173464_kahuzibiegaDRC,0,0,1,0,0,0,0
FMNH189124_kahuzibiegaCOD,0,1,0,0,0,0,0
FMNH189295_kahuzibiegaDRC,0,0,1,0,0,0,0
FMNH189297_kahuzibiegaDRC,0,0,1,0,0,0,0
FMNH211371_kahuzibiegaDRC,0,0,1,0,0,0,0
NNP660_nyungweRWA,0,0,0,0,0,1,0
