masengerubehoTZA,misukuMWI,rubehoTZA,shimbahillsKEN,uluguruTZA,usambaraTZA
FMNH150365_usambaraTZA,0,0,0,0,0,1
FMNH151363_usambaraTZA,0,0,0,0,0,1
FMNH158571_uluguruTZA,0,0,0,0,1,0
FMNH196193_misukuMWI,0,1,0,0,0,0
FMNH196196_misukuMWI,0,1,0,0,0,0
FMNH196201_misukuMWI,0,1,0,0,0,0
FMNH196202_misukuMWI,0,1,0,0,0,0
FMNH196642_misukuMWI,0,1,0,0,0,0
FMNH196647_misukuMWI,0,1,0,0,0,0
FMNH196648_misukuMWI,0,1,0,0,0,0
KEN20160011_shimbahillsKEN,0,0,0,1,0,0
MN066290_rubehoTZA,0,0,1,0,0,0
TZ27993_masengerubehoTZA,1,0,0,0,0,0
