	areroETH	chanoETH	gambellaETH	gatoETH	marsabitKEN	wushwushETH
CMAD5_chanoETH	0	1	0	0	0	0
ETH0114_gatoETH	0	0	0	1	0	0
ETH0658_gambellaETH	0	0	1	0	0	0
ETH1565_wushwushETH	0	0	0	0	0	1
ETH3039_chanoETH	0	1	0	0	0	0
ETH6088_chanoETH	0	1	0	0	0	0
KE118_marsabitKEN	0	0	0	0	1	0
LAV3083_areroETH	1	0	0	0	0	0
Tomass002_chanoETH	0	1	0	0	0	0
Tomass015_chanoETH	0	1	0	0	0	0
Tomass017_chanoETH	0	1	0	0	0	0
Tomass018_chanoETH	0	1	0	0	0	0
Tomass023_chanoETH	0	1	0	0	0	0
Tomass024_chanoETH	0	1	0	0	0	0
Tomass110_chanoETH	0	1	0	0	0	0
Tomass127_chanoETH	0	1	0	0	0	0
Tomass134_chanoETH	0	1	0	0	0	0
Tomass210_chanoETH	0	1	0	0	0	0
Tomass240_chanoETH	0	1	0	0	0	0
Tomass330_chanoETH	0	1	0	0	0	0
Tomass410_chanoETH	0	1	0	0	0	0
