,bongaberekuTZA,buhangaRWA,chalaTZA,cheberachurchuraETH,chepkitaleKEN,cheranganiKEN,gomberoTZA,ikonaTZA,ilundaTZA,imatongSSD,kadamUGA,kahuzibiegaCOD,kahuzibiegaDRC,kakamegaKEN,katimokKEN,kibaoniTZA,kibebeTZA,kidepoUGA,kijunguTZA,kilimanjaroTZA,kitumbeineTZA,loitaKEN,lugaloTZA,maralalKEN,masheteTZA,mathenikobokoraUGA,mauKEN,meriongimaTZA,mizanteferiETH,monduliTZA,morotoUGA,morungoleUGA,mtkenyaKEN,ngarenanyukiTZA,ngorongoroTZA,pianupeUGA,ruahaTZA,taanUGA,tarangireTZA,tumatiTZA,TZA
ETH0708_mizanteferiETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FMNH158120_tarangireTZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FMNH161405_kibebeTZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMNH168417_gomberoTZA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMNH171714_kahuzibiegaDRC,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMNH173465_kahuzibiegaDRC,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMNH173466_kahuzibiegaDRC,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMNH174386_kilimanjaroTZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMNH174387_kilimanjaroTZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMNH187207_tarangireTZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
