ID,Group
FR848958,Gliridae
MT939789,Gliridae
FR848957,Gliridae
FR848955,Gliridae
FM164279,Gliridae
HE614012,Gliridae
FM164280,Gliridae
FR848956,Gliridae
HE614010,Gliridae
HE614009,Gliridae
HE614011,Gliridae
HE613986,Gliridae
HE613987,Gliridae
MZ130252,Gliridae
MZ130253,Gliridae
MZ130254,Gliridae
MZ130255,Gliridae
JX457814,Gliridae
JX457815,Gliridae
HE613992,Gliridae
JX457812,Gliridae
JX457813,Gliridae
JX457816,Gliridae
HE613985,Gliridae
HE613988,Gliridae
HE613989,Gliridae
HE613990,Gliridae
MN935777,Gliridae
NC059783,Gliridae
HE614003,Gliridae
HE614007,Gliridae
HE614004,Gliridae
HE614006,Gliridae
HE614005,Gliridae
HE614002,Gliridae
HE614008,Gliridae
HE611092,Gliridae
HE611093,Gliridae
HE611090,Gliridae
HE611091,Gliridae
HE613978,Gliridae
HE613983,Gliridae
HE613980,Gliridae
HE613981,Gliridae
HE613982,Gliridae
HE613979,Gliridae
HE613977,Gliridae
HE613976,Gliridae
HE613984,Gliridae
FM164278,Gliridae
HE614000,Gliridae
HE614001,Gliridae
HE613999,Gliridae
HE613995,Gliridae
HE613998,Gliridae
HE613996,Gliridae
HE613997,Gliridae
HE613994,Gliridae
MT559833,Gliridae
MT559834,Gliridae
MT559835,Gliridae
MT559836,Gliridae
MT559840,Gliridae
MT559838,Gliridae
MT559839,Gliridae
MT559842,Gliridae
MT559843,Gliridae
MT559837,Gliridae
MT559841,Gliridae
KF699239,Gliridae
KF699240,Gliridae
KF699241,Gliridae
KJ739693,Gliridae
KJ739694,Gliridae
KJ739695,Gliridae
KJ739696,Gliridae
KJ739697,Gliridae
KJ739698,Gliridae
KX893562,Gliridae
KF699238,Gliridae
KF699244,Gliridae
KF699237,Gliridae
KF699236,Gliridae
KF699220,Gliridae
KF699221,Gliridae
KF699222,Gliridae
KF699223,Gliridae
KF699224,Gliridae
KF699225,Gliridae
KF699226,Gliridae
KF699227,Gliridae
KF699228,Gliridae
KF699229,Gliridae
KF699230,Gliridae
KF699231,Gliridae
KF699232,Gliridae
KF699233,Gliridae
KF699234,Gliridae
KF699235,Gliridae
LT614892,Gliridae
MH671563,Gliridae
MH671564,Gliridae
MH671565,Gliridae
MH671566,Gliridae
MH671567,Gliridae
MH671568,Gliridae
MH671569,Gliridae
MH671555,Gliridae
MH671556,Gliridae
MH671557,Gliridae
MH671558,Gliridae
MH671559,Gliridae
MH671560,Gliridae
MH671561,Gliridae
MH671562,Gliridae
PQ533845,Gliridae
PQ533846,Gliridae
KX893566,Gliridae
KX893568,Gliridae
KX893567,Gliridae
MT559827,Gliridae
MT559828,Gliridae
MT559829,Gliridae
MT559830,Gliridae
MT559831,Gliridae
MT559832,Gliridae
KJ739704,Gliridae
KJ739705,Gliridae
KX893565,Gliridae
KJ739703,Gliridae
KX893564,Gliridae
KX893563,Gliridae
MT559858,Gliridae
MT559859,Gliridae
MT559860,Gliridae
MT559861,Gliridae
MT559862,Gliridae
MT559863,Gliridae
MT559864,Gliridae
MT559865,Gliridae
MT559866,Gliridae
MT559868,Gliridae
MT559869,Gliridae
MT559870,Gliridae
MT559867,Gliridae
MT559871,Gliridae
MT559849,Gliridae
MT559853,Gliridae
MT559855,Gliridae
MT559857,Gliridae
MT559845,Gliridae
MT559846,Gliridae
MT559847,Gliridae
MT559848,Gliridae
MT559850,Gliridae
MT559851,Gliridae
MT559852,Gliridae
MT559856,Gliridae
MT559844,Gliridae
MT559854,Gliridae
LT614893,Gliridae
KJ739702,Gliridae
KJ739700,Gliridae
KJ739699,Gliridae
KJ739701,Gliridae
KF699218,Gliridae
KF699219,Gliridae
PQ533841,Gliridae
PQ533842,Gliridae
PQ533840,Gliridae
PQ533839,Gliridae
PQ533838,Gliridae
PQ533837,Gliridae
PQ533843,Gliridae
PQ533844,Gliridae
MW470699,Gliridae
MW470701,Gliridae
MW470700,Gliridae
MW470697,Gliridae
MW470698,Gliridae
MW470689,Gliridae
MW470694,Gliridae
MW470692,Gliridae
MW470691,Gliridae
MW470690,Gliridae
MW470693,Gliridae
MW470685,Gliridae
MW470686,Gliridae
MW470687,Gliridae
MW470688,Gliridae
MW470684,Gliridae
MW470683,Gliridae
MW470695,Gliridae
HE978360,Gliridae
MN616984,Gliridae
MW470704,Gliridae
MW470703,Gliridae
MW470702,Gliridae
OL408926,Gliridae
OL408925,Gliridae
MW470744,Gliridae
MW470743,Gliridae
AB672513,Gliridae
MW470711,Gliridae
MW470709,Gliridae
MW470708,Gliridae
MW470729,Gliridae
MW470728,Gliridae
MW470727,Gliridae
MW470733,Gliridae
MW470741,Gliridae
MW470732,Gliridae
MW470735,Gliridae
MW470736,Gliridae
MW470730,Gliridae
MW470734,Gliridae
MN066291,Gliridae
MW470731,Gliridae
MW470725,Gliridae
MW470719,Gliridae
MW470718,Gliridae
MW470720,Gliridae
MW470712,Gliridae
MW470742,Gliridae
OQ569643,Gliridae
MW470717,Gliridae
MW470715,Gliridae
MW470722,Gliridae
MW470721,Gliridae
MW470713,Gliridae
MW470716,Gliridae
MW470723,Gliridae
OL408927,Gliridae
MW470707,Gliridae
MW470710,Gliridae
MW470706,Gliridae
MW470739,Gliridae
MW470740,Gliridae
MW470737,Gliridae
MW470724,Gliridae
MW470714,Gliridae
MW470726,Gliridae
MW470738,Gliridae
MN066290,Gliridae
MW470705,Gliridae
MW470696,Gliridae
MW470745,Gliridae
AB630239,Gliridae
LT614880,Gliridae
AB630275,Gliridae
AB218854,Gliridae
AB218861,Gliridae
AB218865,Gliridae
AB218868,Gliridae
AB218855,Gliridae
AB218856,Gliridae
AB218857,Gliridae
AB218858,Gliridae
AB218859,Gliridae
AB218860,Gliridae
AB218862,Gliridae
AB218863,Gliridae
AB218864,Gliridae
AB630289,Gliridae
AB630290,Gliridae
AB630291,Gliridae
AB630292,Gliridae
AB630280,Gliridae
LC517455,Gliridae
LC517456,Gliridae
LC517457,Gliridae
AB218848,Gliridae
AB218850,Gliridae
AB630286,Gliridae
AB630281,Gliridae
AB630282,Gliridae
AB218851,Gliridae
AB218867,Gliridae
AB218852,Gliridae
D89003,Gliridae
AB218853,Gliridae
AB630287,Gliridae
AB218835,Gliridae
AB630240,Gliridae
AB218866,Gliridae
AB630237,Gliridae
AB630238,Gliridae
AB218834,Gliridae
AB630288,Gliridae
LC762423,Gliridae
AB630283,Gliridae
AB630285,Gliridae
AB218849,Gliridae
AB630284,Gliridae
AB630263,Gliridae
AB630278,Gliridae
AB630264,Gliridae
AB630265,Gliridae
AB630266,Gliridae
AB630267,Gliridae
AB630268,Gliridae
AB630270,Gliridae
AB630241,Gliridae
AB630242,Gliridae
AB630243,Gliridae
AB630258,Gliridae
AB630259,Gliridae
AB630260,Gliridae
AB630261,Gliridae
AB630262,Gliridae
AB218837,Gliridae
PP971633,Gliridae
AB218836,Gliridae
AB218838,Gliridae
AB218839,Gliridae
AB218840,Gliridae
AB218841,Gliridae
AB218842,Gliridae
AB218844,Gliridae
AB218845,Gliridae
AB218847,Gliridae
AB630244,Gliridae
AB630245,Gliridae
AB630246,Gliridae
AB630249,Gliridae
AB630250,Gliridae
AB630251,Gliridae
AB630252,Gliridae
AB630253,Gliridae
AB630254,Gliridae
AB630255,Gliridae
AB630256,Gliridae
AB630257,Gliridae
AB630269,Gliridae
AB630271,Gliridae
AB630272,Gliridae
AB630273,Gliridae
AB630274,Gliridae
AB630276,Gliridae
AB630277,Gliridae
AB630248,Gliridae
LC762420,Gliridae
LC762421,Gliridae
LC762422,Gliridae
AB218846,Gliridae
AB630247,Gliridae
AB218843,Gliridae
AB630279,Gliridae
PP971635,Gliridae
MN935778,Gliridae
FN796771,Gliridae
FN796772,Gliridae
FN796773,Gliridae
HE799314,Gliridae
KJ631620,Gliridae
LT614874,Gliridae
LT614888,Gliridae
LT614890,Gliridae
LT614889,Gliridae
FN796774,Gliridae
FN796775,Gliridae
FN796776,Gliridae
FN796777,Gliridae
FN796779,Gliridae
FN796778,Gliridae
FN796781,Gliridae
FN796782,Gliridae
FN796783,Gliridae
FN796784,Gliridae
FN796780,Gliridae
LT614877,Gliridae
LT614883,Gliridae
LT614887,Gliridae
FN796769,Gliridae
LT614881,Gliridae
LT614882,Gliridae
LT614885,Gliridae
LT614886,Gliridae
MT410887,Gliridae
NC050264,Gliridae
FN796758,Gliridae
FN796759,Gliridae
FN796760,Gliridae
FN796761,Gliridae
FN796762,Gliridae
FN796763,Gliridae
FN796764,Gliridae
FN796765,Gliridae
FN796766,Gliridae
FN796767,Gliridae
FN796768,Gliridae
FN796770,Gliridae
HE799313,Gliridae
KP257560,Gliridae
KP257561,Gliridae
KP257562,Gliridae
KP257563,Gliridae
LT614875,Gliridae
LT614876,Gliridae
LT614878,Gliridae
LT614879,Gliridae
LT614884,Gliridae
FN796755,Gliridae
FN796757,Gliridae
FN796756,Gliridae
FN796754,Gliridae
LT614891,Gliridae
