ID,Group
FR848958,Eliomys
MT939789,Graphiurus
FR848957,Eliomys
FR848955,Eliomys
FM164279,Eliomys
HE614012,Eliomys
FM164280,Eliomys
FR848956,Eliomys
HE614010,Eliomys
HE614009,Eliomys
HE614011,Eliomys
HE613986,Eliomys
HE613987,Eliomys
MZ130252,Eliomys
MZ130253,Eliomys
MZ130254,Eliomys
MZ130255,Eliomys
JX457814,Eliomys
JX457815,Eliomys
HE613992,Eliomys
JX457812,Eliomys
JX457813,Eliomys
JX457816,Eliomys
HE613985,Eliomys
HE613988,Eliomys
HE613989,Eliomys
HE613990,Eliomys
MN935777,Eliomys
NC059783,Eliomys
HE614003,Eliomys
HE614007,Eliomys
HE614004,Eliomys
HE614006,Eliomys
HE614005,Eliomys
HE614002,Eliomys
HE614008,Eliomys
HE611092,Eliomys
HE611093,Eliomys
HE611090,Eliomys
HE611091,Eliomys
HE613978,Eliomys
HE613983,Eliomys
HE613980,Eliomys
HE613981,Eliomys
HE613982,Eliomys
HE613979,Eliomys
HE613977,Eliomys
HE613976,Eliomys
HE613984,Eliomys
FM164278,Eliomys
HE614000,Eliomys
HE614001,Eliomys
HE613999,Eliomys
HE613995,Eliomys
HE613998,Eliomys
HE613996,Eliomys
HE613997,Eliomys
HE613994,Eliomys
MT559833,Dryomys
MT559834,Dryomys
MT559835,Dryomys
MT559836,Dryomys
MT559840,Dryomys
MT559838,Dryomys
MT559839,Dryomys
MT559842,Dryomys
MT559843,Dryomys
MT559837,Dryomys
MT559841,Dryomys
KF699239,Dryomys
KF699240,Dryomys
KF699241,Dryomys
KJ739693,Dryomys
KJ739694,Dryomys
KJ739695,Dryomys
KJ739696,Dryomys
KJ739697,Dryomys
KJ739698,Dryomys
KX893562,Dryomys
KF699238,Dryomys
KF699244,Dryomys
KF699237,Dryomys
KF699236,Dryomys
KF699220,Dryomys
KF699221,Dryomys
KF699222,Dryomys
KF699223,Dryomys
KF699224,Dryomys
KF699225,Dryomys
KF699226,Dryomys
KF699227,Dryomys
KF699228,Dryomys
KF699229,Dryomys
KF699230,Dryomys
KF699231,Dryomys
KF699232,Dryomys
KF699233,Dryomys
KF699234,Dryomys
KF699235,Dryomys
LT614892,Dryomys
MH671563,Dryomys
MH671564,Dryomys
MH671565,Dryomys
MH671566,Dryomys
MH671567,Dryomys
MH671568,Dryomys
MH671569,Dryomys
MH671555,Dryomys
MH671556,Dryomys
MH671557,Dryomys
MH671558,Dryomys
MH671559,Dryomys
MH671560,Dryomys
MH671561,Dryomys
MH671562,Dryomys
PQ533845,Dryomys
PQ533846,Dryomys
KX893566,Dryomys
KX893568,Dryomys
KX893567,Dryomys
MT559827,Dryomys
