ID,Group
FR848958,Leithiinae
MT939789,Graphiurinae
FR848957,Leithiinae
FR848955,Leithiinae
FM164279,Leithiinae
HE614012,Leithiinae
FM164280,Leithiinae
FR848956,Leithiinae
HE614010,Leithiinae
HE614009,Leithiinae
HE614011,Leithiinae
HE613986,Leithiinae
HE613987,Leithiinae
MZ130252,Leithiinae
MZ130253,Leithiinae
MZ130254,Leithiinae
MZ130255,Leithiinae
JX457814,Leithiinae
JX457815,Leithiinae
HE613992,Leithiinae
JX457812,Leithiinae
JX457813,Leithiinae
JX457816,Leithiinae
HE613985,Leithiinae
HE613988,Leithiinae
HE613989,Leithiinae
HE613990,Leithiinae
MN935777,Leithiinae
NC059783,Leithiinae
HE614003,Leithiinae
HE614007,Leithiinae
HE614004,Leithiinae
HE614006,Leithiinae
HE614005,Leithiinae
HE614002,Leithiinae
HE614008,Leithiinae
HE611092,Leithiinae
HE611093,Leithiinae
HE611090,Leithiinae
HE611091,Leithiinae
HE613978,Leithiinae
HE613983,Leithiinae
HE613980,Leithiinae
HE613981,Leithiinae
HE613982,Leithiinae
HE613979,Leithiinae
HE613977,Leithiinae
HE613976,Leithiinae
HE613984,Leithiinae
FM164278,Leithiinae
HE614000,Leithiinae
HE614001,Leithiinae
HE613999,Leithiinae
HE613995,Leithiinae
HE613998,Leithiinae
HE613996,Leithiinae
HE613997,Leithiinae
HE613994,Leithiinae
MT559833,Leithiinae
MT559834,Leithiinae
MT559835,Leithiinae
MT559836,Leithiinae
MT559840,Leithiinae
MT559838,Leithiinae
MT559839,Leithiinae
MT559842,Leithiinae
MT559843,Leithiinae
MT559837,Leithiinae
MT559841,Leithiinae
KF699239,Leithiinae
KF699240,Leithiinae
KF699241,Leithiinae
KJ739693,Leithiinae
KJ739694,Leithiinae
KJ739695,Leithiinae
KJ739696,Leithiinae
KJ739697,Leithiinae
KJ739698,Leithiinae
KX893562,Leithiinae
KF699238,Leithiinae
KF699244,Leithiinae
KF699237,Leithiinae
KF699236,Leithiinae
KF699220,Leithiinae
KF699221,Leithiinae
KF699222,Leithiinae
KF699223,Leithiinae
KF699224,Leithiinae
KF699225,Leithiinae
KF699226,Leithiinae
KF699227,Leithiinae
KF699228,Leithiinae
KF699229,Leithiinae
KF699230,Leithiinae
KF699231,Leithiinae
KF699232,Leithiinae
KF699233,Leithiinae
KF699234,Leithiinae
KF699235,Leithiinae
LT614892,Leithiinae
MH671563,Leithiinae
MH671564,Leithiinae
MH671565,Leithiinae
MH671566,Leithiinae
MH671567,Leithiinae
MH671568,Leithiinae
MH671569,Leithiinae
MH671555,Leithiinae
MH671556,Leithiinae
MH671557,Leithiinae
MH671558,Leithiinae
MH671559,Leithiinae
MH671560,Leithiinae
MH671561,Leithiinae
MH671562,Leithiinae
PQ533845,Leithiinae
PQ533846,Leithiinae
KX893566,Leithiinae
KX893568,Leithiinae
KX893567,Leithiinae
MT559827,Leithiinae
MT559828,Leithiinae
MT559829,Leithiinae
MT559830,Leithiinae
MT559831,Leithiinae
MT559832,Leithiinae
KJ739704,Leithiinae
KJ739705,Leithiinae
KX893565,Leithiinae
KJ739703,Leithiinae
KX893564,Leithiinae
KX893563,Leithiinae
MT559858,Leithiinae
MT559859,Leithiinae
MT559860,Leithiinae
MT559861,Leithiinae
MT559862,Leithiinae
MT559863,Leithiinae
MT559864,Leithiinae
MT559865,Leithiinae
MT559866,Leithiinae
MT559868,Leithiinae
MT559869,Leithiinae
MT559870,Leithiinae
MT559867,Leithiinae
MT559871,Leithiinae
MT559849,Leithiinae
MT559853,Leithiinae
MT559855,Leithiinae
MT559857,Leithiinae
MT559845,Leithiinae
MT559846,Leithiinae
MT559847,Leithiinae
MT559848,Leithiinae
MT559850,Leithiinae
MT559851,Leithiinae
MT559852,Leithiinae
MT559856,Leithiinae
MT559844,Leithiinae
MT559854,Leithiinae
LT614893,Leithiinae
KJ739702,Leithiinae
KJ739700,Leithiinae
KJ739699,Leithiinae
KJ739701,Leithiinae
KF699218,Leithiinae
KF699219,Leithiinae
PQ533841,Leithiinae
PQ533842,Leithiinae
PQ533840,Leithiinae
PQ533839,Leithiinae
PQ533838,Leithiinae
PQ533837,Leithiinae
PQ533843,Leithiinae
PQ533844,Leithiinae
MW470699,Graphiurinae
MW470701,Graphiurinae
MW470700,Graphiurinae
MW470697,Graphiurinae
MW470698,Graphiurinae
MW470689,Graphiurinae
MW470694,Graphiurinae
MW470692,Graphiurinae
MW470691,Graphiurinae
MW470690,Graphiurinae
MW470693,Graphiurinae
MW470685,Graphiurinae
MW470686,Graphiurinae
MW470687,Graphiurinae
MW470688,Graphiurinae
MW470684,Graphiurinae
MW470683,Graphiurinae
MW470695,Graphiurinae
HE978360,Graphiurinae
MN616984,Graphiurinae
MW470704,Graphiurinae
MW470703,Graphiurinae
MW470702,Graphiurinae
OL408926,Graphiurinae
OL408925,Graphiurinae
MW470744,Graphiurinae
MW470743,Graphiurinae
AB672513,Graphiurinae
MW470711,Graphiurinae
MW470709,Graphiurinae
MW470708,Graphiurinae
MW470729,Graphiurinae
MW470728,Graphiurinae
MW470727,Graphiurinae
MW470733,Graphiurinae
MW470741,Graphiurinae
MW470732,Graphiurinae
MW470735,Graphiurinae
MW470736,Graphiurinae
MW470730,Graphiurinae
MW470734,Graphiurinae
MN066291,Graphiurinae
MW470731,Graphiurinae
MW470725,Graphiurinae
MW470719,Graphiurinae
MW470718,Graphiurinae
MW470720,Graphiurinae
MW470712,Graphiurinae
MW470742,Graphiurinae
OQ569643,Graphiurinae
MW470717,Graphiurinae
MW470715,Graphiurinae
MW470722,Graphiurinae
